temp,magnetisation
0.000001,1000000.000000
0.081634,1000000.000000
0.163266,1000000.000000
0.244899,1000000.000000
0.326532,1000000.000000
0.408164,1000000.000000
0.489797,1000000.000000
0.571429,999996.000000
0.653062,1000000.000000
0.734695,1000000.000000
0.816327,999992.324324
0.897960,999970.338338
0.979593,999933.275275
1.061225,999848.354354
1.142858,999708.930931
1.224490,999401.889890
1.306123,998965.189189
1.387756,998414.006006
1.469388,997732.830831
1.551021,996490.620621
1.632654,995229.579580
1.714286,993523.437437
1.795919,991229.793794
1.877552,988453.949950
1.959184,985329.577578
2.040817,981893.405405
2.122449,977531.977978
2.204082,972554.680681
2.285715,966652.898899
2.367347,960904.112112
2.448980,953519.285285
2.530613,945865.411411
2.612245,936457.801802
2.693878,927346.192192
2.775511,917601.657658
2.857143,906318.448448
2.938776,893353.241241
3.020408,881496.200200
3.102041,866483.627628
3.183674,851997.951952
3.265306,836308.604605
3.346939,822130.394394
3.428572,804963.869870
3.510204,788070.052052
3.591837,771417.481481
3.673469,752615.879880
3.755102,735981.843844
3.836735,718119.831832
3.918367,700107.549550
4.000000,681566.350350
