temp,energy
0.000001,-3398848.000000
0.081634,-3398848.000000
0.163266,-3398848.000000
0.244899,-3398848.000000
0.326532,-3398848.000000
0.408164,-3398848.000000
0.489797,-3398848.000000
0.571429,-3398848.000000
0.653062,-3398848.000000
0.734695,-3398836.000000
0.816327,-3398848.000000
0.897960,-3398848.000000
0.979593,-3398802.822823
1.061225,-3398701.861862
1.142858,-3398444.492492
1.224490,-3398182.006006
1.306123,-3397598.946947
1.387756,-3396572.832833
1.469388,-3395439.351351
1.551021,-3393655.131131
1.632654,-3390960.348348
1.714286,-3388007.315315
1.795919,-3383574.198198
1.877552,-3376966.294294
1.959184,-3371750.034034
2.040817,-3364726.634635
2.122449,-3354187.495495
2.204082,-3344302.262262
2.285715,-3331107.635636
2.367347,-3316383.195195
2.448980,-3301280.552553
2.530613,-3282736.480480
2.612245,-3261966.470470
2.693878,-3241618.002002
2.775511,-3217519.707708
2.857143,-3188116.000000
2.938776,-3161247.195195
3.020408,-3134662.458458
3.102041,-3103248.328328
3.183674,-3067789.773774
3.265306,-3035799.911912
3.346939,-2997002.910911
3.428572,-2959962.054054
3.510204,-2911419.095095
3.591837,-2874221.709710
3.673469,-2833569.585586
3.755102,-2784362.822823
3.836735,-2738147.839840
3.918367,-2691938.966967
4.000000,-2643388.152152
