temp,magnetisation
0.000001,-1
0.008017,-1
0.016033,-1
0.024049,-1
0.032065,-1
0.040081,-1
0.048097,-1
0.056113,-1
0.064129,-1
0.072145,-0.999996
0.080161,-1
0.088177,-1
0.096193,-1
0.104209,-1
0.112225,-1
0.120241,-1
0.128257,-1
0.136274,-1
0.14429,-1
0.152306,-1
0.160322,-1
0.168338,-1
0.176354,-1
0.18437,-1
0.192386,-1
0.200402,-1
0.208418,-1
0.216434,-1
0.22445,-1
0.232466,-1
0.240482,-1
0.248498,-1
0.256514,-1
0.26453,-1
0.272546,-1
0.280562,-1
0.288578,-1
0.296594,-1
0.30461,-1
0.312626,-0.999998
0.320642,-1
0.328658,-1
0.336674,-0.999998
0.34469,-1
0.352706,-1
0.360722,-0.999998
0.368738,-1
0.376754,-1
0.38477,-1
0.392786,-1
0.400803,-0.999996
0.408819,-1
0.416835,-1
0.424851,-1
0.432867,-1
0.440883,-1
0.448899,-0.999996
0.456915,-1
0.464931,-1
0.472947,-1
0.480963,-1
0.488979,-1
0.496995,-0.999998
0.505011,-1
0.513027,-1
0.521043,-1
0.529059,-1
0.537075,-1
0.545091,-1
0.553107,-0.999998
0.561123,-0.999998
0.569139,-1
0.577155,-0.999999271
0.585171,-0.999999928
0.593187,-1
0.601203,-0.999992919
0.609219,-0.999996476
0.617235,-0.99999635
0.625251,-0.999996571
0.633267,-0.99999186
0.641283,-0.999996078
0.649299,-0.99999176
0.657315,-0.999988853
0.665331,-0.999985349
0.673348,-0.99999217
0.681364,-0.999980715
0.68938,-0.999983273
0.697396,-0.999976745
0.705412,-0.999978513
0.713428,-0.99997849
0.721444,-0.999966899
0.72946,-0.99995974
0.737476,-0.999954949
0.745492,-0.999965379
0.753508,-0.999933508
0.761524,-0.99995563
0.76954,-0.999947411
0.777556,-0.999938779
0.785572,-0.999914513
0.793588,-0.999908086
0.801604,-0.99990798
0.80962,-0.999900108
0.817636,-0.999874476
0.825652,-0.999876559
0.833668,-0.999843514
0.841684,-0.999837964
0.8497,-0.999807395
0.857716,-0.999802452
0.865732,-0.999818076
0.873748,-0.999769055
0.881764,-0.999776709
0.88978,-0.999772787
0.897796,-0.999731049
0.905812,-0.999718945
0.913828,-0.999671277
0.921844,-0.999662086
0.92986,-0.999639818
0.937877,-0.999574521
0.945893,-0.999567449
0.953909,-0.999543892
0.961925,-0.99948357
0.969941,-0.999467359
0.977957,-0.999373069
0.985973,-0.999396729
0.993989,-0.999285664
1.002005,-0.999271097
1.010021,-0.999224414
1.018037,-0.999121095
1.026053,-0.999134112
1.034069,-0.999054424
1.042085,-0.998926815
1.050101,-0.998879195
