temp,magnetisation
0.000001,1
0.081634,1
0.163266,1
0.244899,1
0.326532,1
0.408164,1
0.489797,1
0.571429,1
0.653062,0.999994693
0.734695,0.999989794
0.816327,0.999963075
0.89796,0.999901355
0.979593,0.999797083
1.061225,0.999566661
1.142858,0.999217996
1.22449,0.998653796
1.306123,0.997645842
1.387756,0.996585009
1.469388,0.994902472
1.551021,0.992767379
1.632654,0.990520456
1.714286,0.986897576
1.795919,0.982752507
1.877552,0.977717203
1.959184,0.971893516
2.040817,0.96459389
2.122449,0.956705475
2.204082,0.947234206
2.285715,0.936702242
2.367347,0.923494042
2.44898,0.910289181
2.530613,0.894828709
2.612245,0.877006434
2.693878,0.855219888
2.775511,0.836202999
2.857143,0.814354092
2.938776,0.788570873
3.020408,0.764741584
3.102041,0.738352825
3.183674,0.709557942
3.265306,0.682425335
3.346939,0.656037119
3.428572,0.627223177
3.510204,0.599602282
3.591837,0.572974897
3.673469,0.547124024
3.755102,0.521928258
3.836735,0.496228436
3.918367,0.472470973
4,0.453874521
