temp,magnetisation
0.000001,1000000.000000
0.081634,1000000.000000
0.163266,1000000.000000
0.244899,1000000.000000
0.326532,1000000.000000
0.408164,1000000.000000
0.489797,1000000.000000
0.571429,1000000.000000
0.653062,1000000.000000
0.734695,999998.000000
0.816327,1000000.000000
0.897960,1000000.000000
0.979593,999992.470470
1.061225,999975.643644
1.142858,999932.748749
1.224490,999889.001001
1.306123,999791.675676
1.387756,999619.635636
1.469388,999430.962963
1.551021,999132.076076
1.632654,998680.368368
1.714286,998180.474474
1.795919,997435.861862
1.877552,996314.870871
1.959184,995430.946947
2.040817,994234.882883
2.122449,992430.766767
2.204082,990760.014014
2.285715,988473.821822
2.367347,985922.834835
2.448980,983279.793794
2.530613,980011.503504
2.612245,976380.124124
2.693878,972790.776777
2.775511,968485.889890
2.857143,963190.050050
2.938776,958336.338338
3.020408,953526.838839
3.102041,947774.270270
3.183674,941229.597598
3.265306,935319.063063
3.346939,927994.002002
3.428572,921012.254254
3.510204,911786.830831
3.591837,904589.893894
3.673469,896840.860861
3.755102,887175.561562
3.836735,878125.517518
3.918367,868938.720721
4.000000,859065.287287
