temp,magnetisation
0.000001,-1
0.008017,-1
0.016033,-1
0.024049,-1
0.032065,-1
0.040081,-1
0.048097,-1
0.056113,-0.999998
0.064129,-1
0.072145,-0.999998
0.080161,-1
0.088177,-1
0.096193,-1
0.104209,-1
0.112225,-0.999998
0.120241,-1
0.128257,-1
0.136274,-1
0.14429,-1
0.152306,-1
0.160322,-1
0.168338,-1
0.176354,-1
0.18437,-1
0.192386,-1
0.200402,-1
0.208418,-1
0.216434,-1
0.22445,-1
0.232466,-1
0.240482,-1
0.248498,-1
0.256514,-1
0.26453,-0.999998
0.272546,-1
0.280562,-1
0.288578,-1
0.296594,-1
0.30461,-1
0.312626,-1
0.320642,-1
0.328658,-1
0.336674,-1
0.34469,-1
0.352706,-0.999998
0.360722,-1
0.368738,-1
0.376754,-1
0.38477,-1
0.392786,-1
0.400803,-1
0.408819,-1
0.416835,-1
0.424851,-0.999998
0.432867,-0.999998
0.440883,-1
0.448899,-1
0.456915,-0.999998
0.464931,-1
0.472947,-1
0.480963,-1
0.488979,-1
0.496995,-1
0.505011,-1
0.513027,-1
0.521043,-1
0.529059,-1
0.537075,-1
0.545091,-1
0.553107,-1
0.561123,-1
0.569139,-1
0.577155,-1
0.585171,-1
0.593187,-1
0.601203,-1
0.609219,-1
0.617235,-1
0.625251,-0.999998793
0.633267,-1
0.641283,-1
0.649299,-1
0.657315,-1
0.665331,-0.999994939
0.673348,-0.999994905
0.681364,-0.999998
0.68938,-0.999994847
0.697396,-0.999994991
0.705412,-0.999988525
0.713428,-0.999994238
0.721444,-0.999996148
0.72946,-0.999993942
0.737476,-0.999990811
0.745492,-0.999986511
0.753508,-0.999994731
0.761524,-0.999989872
0.76954,-0.999987664
0.777556,-0.999981656
0.785572,-0.999979103
0.793588,-0.999963003
0.801604,-0.999981924
0.80962,-0.999972987
0.817636,-0.999969836
0.825652,-0.999964046
0.833668,-0.999954667
0.841684,-0.999949163
0.8497,-0.999945916
0.857716,-0.999943952
0.865732,-0.99993007
0.873748,-0.999931393
0.881764,-0.999922442
0.88978,-0.999917247
0.897796,-0.999914208
0.905812,-0.999898242
0.913828,-0.999877862
0.921844,-0.999863744
0.92986,-0.999886705
0.937877,-0.99985393
0.945893,-0.999873149
0.953909,-0.999817329
0.961925,-0.999840881
0.969941,-0.999816054
0.977957,-0.999764376
0.985973,-0.999742685
0.993989,-0.999765285
1.002005,-0.999736615
1.010021,-0.999727612
1.018037,-0.999679257
1.026053,-0.999699213
1.034069,-0.999649816
1.042085,-0.999640438
1.050101,-0.999567247
1.058117,-0.999608336
1.066133,-0.99958395
1.074149,-0.999511898
1.082165,-0.999449508
