temp,magnetisation
0.000001,-1000000.000000
0.081634,-1000000.000000
0.163266,-1000000.000000
0.244899,-1000000.000000
0.326532,-1000000.000000
0.408164,-1000000.000000
0.489797,-1000000.000000
0.571429,-1000000.000000
0.653062,-999993.777778
0.734695,-999962.696697
0.816327,-999902.248248
0.897960,-999721.389389
0.979593,-999396.640641
1.061225,-998822.474474
1.142858,-997988.224224
1.224490,-996446.774775
1.306123,-994665.459459
1.387756,-991987.245245
1.469388,-988259.067067
1.551021,-983244.510511
1.632654,-976352.526527
1.714286,-968325.567568
1.795919,-956582.984985
1.877552,-943096.662663
1.959184,-923566.722723
2.040817,-896190.594595
2.122449,-855226.892893
2.204082,-780951.135135
2.285715,-683967.979980
2.367347,-127069.367367
2.448980,-26857.111111
2.530613,-32603.905906
2.612245,4298.910911
2.693878,-1962.248248
2.775511,-1087.899900
2.857143,1097.919920
2.938776,410.196196
3.020408,21.527528
3.102041,-751.155155
3.183674,2771.063063
3.265306,1527.859860
3.346939,3060.368368
3.428572,-1119.649650
3.510204,1774.082082
3.591837,1558.694695
3.673469,-1411.561562
3.755102,-879.433433
3.836735,445.561562
3.918367,-2581.007007
4.000000,1595.261261
