temp,magnetisation
0.000001,-1
0.008017,-1
0.016033,-1
0.024049,-1
0.032065,-1
0.040081,-1
0.048097,-1
0.056113,-1
0.064129,-1
0.072145,-1
0.080161,-1
0.088177,-1
0.096193,-1
0.104209,-1
0.112225,-1
0.120241,-1
0.128257,-1
0.136274,-1
0.14429,-1
0.152306,-1
0.160322,-1
0.168338,-1
0.176354,-1
0.18437,-1
0.192386,-1
0.200402,-1
0.208418,-1
0.216434,-1
0.22445,-1
0.232466,-1
0.240482,-1
0.248498,-1
0.256514,-1
0.26453,-1
0.272546,-1
0.280562,-1
0.288578,-1
0.296594,-1
0.30461,-1
0.312626,-1
0.320642,-1
0.328658,-1
0.336674,-1
0.34469,-1
0.352706,-1
0.360722,-1
0.368738,-1
0.376754,-1
0.38477,-1
0.392786,-1
0.400803,-1
0.408819,-1
0.416835,-1
0.424851,-1
0.432867,-1
0.440883,-1
0.448899,-1
0.456915,-1
0.464931,-1
0.472947,-1
0.480963,-0.999999702
0.488979,-0.999998
0.496995,-1
0.505011,-1
0.513027,-0.999999017
0.521043,-1
0.529059,-0.999997453
0.537075,-0.999999135
0.545091,-1
0.553107,-0.999998921
0.561123,-0.999999493
0.569139,-0.999999153
0.577155,-0.999999616
0.585171,-0.999998869
0.593187,-0.999996935
0.601203,-1
0.609219,-0.999994745
0.617235,-0.999996617
0.625251,-0.999998128
0.633267,-0.999999157
0.641283,-0.999999117
0.649299,-0.999996907
0.657315,-0.99999632
0.665331,-0.999992032
0.673348,-0.999993992
0.681364,-0.99999034
0.68938,-0.999992204
0.697396,-0.999991267
0.705412,-0.99998832
0.713428,-0.99998397
0.721444,-0.999984961
0.72946,-0.999985329
0.737476,-0.999961191
0.745492,-0.999973788
0.753508,-0.999974587
0.761524,-0.99997412
0.76954,-0.999961341
0.777556,-0.999955546
0.785572,-0.999946593
0.793588,-0.999959522
0.801604,-0.999953437
0.80962,-0.999947812
0.817636,-0.999945205
0.825652,-0.99993598
0.833668,-0.999921954
0.841684,-0.999914953
0.8497,-0.999906182
0.857716,-0.999910771
0.865732,-0.99990839
0.873748,-0.999871483
0.881764,-0.999858889
0.88978,-0.999858404
0.897796,-0.999849754
0.905812,-0.999845992
0.913828,-0.999801277
0.921844,-0.999763385
0.92986,-0.999771584
0.937877,-0.999781059
0.945893,-0.999730923
0.953909,-0.999719297
0.961925,-0.999689836
0.969941,-0.999674507
0.977957,-0.999659506
0.985973,-0.999630899
0.993989,-0.999643499
1.002005,-0.999540294
1.010021,-0.999574917
1.018037,-0.999486751
1.026053,-0.9994519
1.034069,-0.999444665
1.042085,-0.99938048
1.050101,-0.999374755
