temp,energy
0.000001,-4600240.000000
0.081634,-4600240.000000
0.163266,-4600240.000000
0.244899,-4600240.000000
0.326532,-4600240.000000
0.408164,-4600240.000000
0.489797,-4600240.000000
0.571429,-4600240.000000
0.653062,-4600228.000000
0.734695,-4600240.000000
0.816327,-4600228.000000
0.897960,-4600228.000000
0.979593,-4600182.018018
1.061225,-4600040.996997
1.142858,-4599941.885886
1.224490,-4599541.729730
1.306123,-4598946.710711
1.387756,-4598297.005005
1.469388,-4596549.373373
1.551021,-4595020.912913
1.632654,-4592136.672673
1.714286,-4589034.682683
1.795919,-4584199.047047
1.877552,-4578590.622623
1.959184,-4572990.306306
2.040817,-4564615.779780
2.122449,-4555122.518519
2.204082,-4544462.198198
2.285715,-4531742.914915
2.367347,-4518096.608609
2.448980,-4501646.806807
2.530613,-4485893.461461
2.612245,-4463765.861862
2.693878,-4441349.445445
2.775511,-4420058.310310
2.857143,-4394367.219219
2.938776,-4364342.682683
3.020408,-4335698.794795
3.102041,-4302377.181181
3.183674,-4268826.062062
3.265306,-4234680.608609
3.346939,-4196710.834835
3.428572,-4157175.467467
3.510204,-4116828.952953
3.591837,-4075904.956957
3.673469,-4035754.342342
3.755102,-3983692.760761
3.836735,-3944504.144144
3.918367,-3893763.951952
4.000000,-3844861.101101
