temp,energy
0.000001,-2699996.000000
0.081634,-2699996.000000
0.163266,-2699996.000000
0.244899,-2699996.000000
0.326532,-2699996.000000
0.408164,-2699996.000000
0.489797,-2699996.000000
0.571429,-2699976.000000
0.653062,-2699996.000000
0.734695,-2699996.000000
0.816327,-2699957.621622
0.897960,-2699847.691692
0.979593,-2699662.376376
1.061225,-2699241.879880
1.142858,-2698546.020020
1.224490,-2697012.896897
1.306123,-2694853.929930
1.387756,-2692161.737738
1.469388,-2688823.501502
1.551021,-2682765.603604
1.632654,-2676645.003003
1.714286,-2668425.763764
1.795919,-2657414.370370
1.877552,-2644450.282282
1.959184,-2629789.741742
2.040817,-2613628.948949
2.122449,-2593787.629630
2.204082,-2571223.353353
2.285715,-2544699.705706
2.367347,-2519260.272272
2.448980,-2486870.892893
2.530613,-2453807.065065
2.612245,-2413909.837838
2.693878,-2376492.770771
2.775511,-2336144.688689
2.857143,-2290624.454454
2.938776,-2238581.737738
3.020408,-2192423.155155
3.102041,-2135573.705706
3.183674,-2080307.177177
3.265306,-2023669.973974
3.346939,-1971043.819820
3.428572,-1909933.435435
3.510204,-1850131.553554
3.591837,-1792995.279279
3.673469,-1729038.138138
3.755102,-1673761.395395
3.836735,-1614901.837838
3.918367,-1556136.738739
4.000000,-1498382.430430
