temp,energy
0.000001,-3299689.000000
0.081634,-3299689.000000
0.163266,-3299689.000000
0.244899,-3299689.000000
0.326532,-3299689.000000
0.408164,-3299689.000000
0.489797,-3299689.000000
0.571429,-3299689.000000
0.653062,-3299684.355355
0.734695,-3299683.664665
0.816327,-3299633.164164
0.897960,-3299540.581582
0.979593,-3299326.257257
1.061225,-3298869.328328
1.142858,-3298154.085085
1.224490,-3297016.447447
1.306123,-3294681.362362
1.387756,-3291846.779780
1.469388,-3287548.555556
1.551021,-3282812.063063
1.632654,-3276708.235235
1.714286,-3267942.239239
1.795919,-3256530.781782
1.877552,-3245233.156156
1.959184,-3230670.381381
2.040817,-3213162.653654
2.122449,-3193861.450450
2.204082,-3170654.919920
2.285715,-3147320.515516
2.367347,-3116807.938939
2.448980,-3085323.364364
2.530613,-3052119.158158
2.612245,-3019177.706707
2.693878,-2977727.618619
2.775511,-2933544.857858
2.857143,-2888874.523524
2.938776,-2836706.669670
3.020408,-2791488.921922
3.102041,-2738089.144144
3.183674,-2680843.418418
3.265306,-2624873.932933
3.346939,-2567751.412412
3.428572,-2511734.677678
3.510204,-2448228.183183
3.591837,-2392690.537538
3.673469,-2324085.008008
3.755102,-2269481.630631
3.836735,-2212472.997998
3.918367,-2152920.387387
4.000000,-2095944.555556
