temp,magnetisation
0.000001,-1000000.000000
0.081634,-1000000.000000
0.163266,-1000000.000000
0.244899,-1000000.000000
0.326532,-1000000.000000
0.408164,-1000000.000000
0.489797,-1000000.000000
0.571429,-1000000.000000
0.653062,-999998.000000
0.734695,-1000000.000000
0.816327,-999998.000000
0.897960,-999998.000000
0.979593,-999990.336336
1.061225,-999966.832833
1.142858,-999950.314314
1.224490,-999883.621622
1.306123,-999784.342342
1.387756,-999674.966967
1.469388,-999382.748749
1.551021,-999126.648649
1.632654,-998641.305305
1.714286,-998120.142142
1.795919,-997306.810811
1.877552,-996348.954955
1.959184,-995404.522523
2.040817,-993984.936937
2.122449,-992342.714715
2.204082,-990534.578579
2.285715,-988334.820821
2.367347,-985972.986987
2.448980,-983112.680681
2.530613,-980354.424424
2.612245,-976439.693694
2.693878,-972463.053053
2.775511,-968728.310310
2.857143,-964096.100100
2.938776,-958629.731732
3.020408,-953486.980981
3.102041,-947340.342342
3.183674,-941215.907908
3.265306,-934936.688689
3.346939,-927645.287287
3.428572,-920364.810811
3.510204,-912481.103103
3.591837,-904633.025025
3.673469,-896878.844845
3.755102,-886847.129129
3.836735,-878906.572573
3.918367,-868923.481481
4.000000,-859215.027027
