temp,heat-cap
0.000100,2049.515524
0.008116,-3243.581090
0.016132,-762.313385
0.024147,748.327059
0.032163,-1050.309065
0.040179,7.232149
0.048195,-1137.441107
0.056211,-2270.506763
0.064227,70.935927
0.072242,-2064.097057
0.080258,294.535947
0.088274,-748.518713
0.096290,189.624741
0.104306,-521.149754
0.112322,-480.530532
0.120337,-14.851918
0.128353,1579.768730
0.136369,-138.171966
0.144385,26.732811
0.152401,-230.060507
0.160417,-1228.478701
0.168432,1131.689007
0.176448,35.643748
0.184464,1225.318495
0.192480,-490.101538
0.200496,998.689891
0.208512,-1211.887440
0.216527,-161.363713
0.224543,-276.239049
0.232559,302.971860
0.240575,-99.541242
0.248591,-1015.737308
0.256607,422.037873
0.264622,-297.258734
0.272638,-83.614921
0.280654,2316.843635
0.288670,-213.598812
0.296686,1051.490573
0.304702,-215.207431
0.312717,739.607776
0.320733,219.383405
0.328749,-233.261972
0.336765,-204.951552
0.344781,-1247.014705
0.352797,-1646.460542
0.360812,-760.636996
0.368828,-409.903105
0.376844,35.603025
0.384860,1541.592111
0.392876,403.173052
0.400892,-664.202672
0.408907,-1173.518878
0.416923,456.158638
0.424939,-122.879486
0.432955,1143.975084
0.440971,25.731836
0.448987,-1060.401510
0.457002,703.964028
0.465018,28.926884
0.473034,1048.505112
0.481050,-922.996516
0.489066,177.884934
0.497082,517.875068
0.505097,-974.022032
0.513113,14.428823
0.521129,-72.105707
0.529145,-611.241236
0.537161,267.923101
0.545177,-243.451463
0.553192,-568.739740
0.561208,-152.118613
0.569224,608.102238
0.577240,1786.729807
0.585256,606.883566
0.593272,990.777346
0.601287,15.211033
0.609303,-68.063042
0.617319,-209.587692
0.625335,976.179926
0.633351,580.061555
0.641367,647.039412
0.649382,-284.233932
0.657398,-459.366429
0.665414,541.209481
0.673430,2101.979547
0.681446,465.856329
0.689462,970.891678
0.697477,370.079907
0.705493,624.220502
0.713509,-294.244223
0.721525,467.037040
0.729541,408.708136
0.737557,403.537959
0.745572,812.652883
0.753588,88.037463
0.761604,-417.820641
0.769620,-451.259979
0.777636,1028.421619
0.785652,160.786012
0.793667,497.783912
0.801683,-864.855902
0.809699,-481.949464
0.817715,-429.820407
0.825731,485.217583
0.833746,-174.794858
0.841762,-1462.495793
0.849778,740.715595
0.857794,427.293774
0.865810,-898.719227
0.873826,882.396901
0.881841,542.722395
0.889857,-264.221015
0.897873,-793.433671
0.905889,1624.421347
0.913905,-493.035494
0.921921,-1256.165171
0.929936,1277.787865
0.937952,190.192220
0.945968,-1564.067947
0.953984,85.706695
0.962000,-516.082526
0.970016,-981.534918
0.978031,841.667541
0.986047,-55.178232
0.994063,1120.620799
1.002079,385.454011
1.010095,1591.099456
1.018111,1237.113308
1.026126,417.020074
1.034142,2506.149119
1.042158,-315.905858
1.050174,145.844538
1.058190,1284.799506
1.066206,1796.547441
1.074221,-89.277076
1.082237,213.481989
1.090253,621.364073
1.098269,252.108079
1.106285,1714.024834
1.114301,1966.948985
1.122316,625.418500
1.130332,-1593.304133
1.138348,884.355099
1.146364,1498.161908
1.154380,-270.778818
1.162396,1245.499653
1.170411,1562.632826
1.178427,1236.536586
1.186443,479.884512
1.194459,1778.551000
1.202475,1153.740499
1.210491,1130.110775
1.218506,1455.250149
1.226522,540.983587
1.234538,704.201774
1.242554,1324.179291
1.250570,722.977930
1.258586,-431.057703
1.266601,519.748433
1.274617,2231.829683
1.282633,184.885971
1.290649,1443.733628
1.298665,1804.592048
1.306681,2148.920783
1.314696,1229.254852
1.322712,2225.337733
1.330728,39.956239
1.338744,662.359605
1.346760,2219.558933
1.354776,2142.445586
1.362791,1541.002825
1.370807,2351.146363
1.378823,1390.587109
1.386839,864.802258
1.394855,2702.432738
1.402871,758.022501
1.410886,3365.529552
1.418902,1716.099410
1.426918,2224.301827
1.434934,2891.595021
1.442950,116.531182
1.450966,1133.305021
1.458981,1020.798147
1.466997,1089.527110
1.475013,2415.363852
1.483029,2633.702082
1.491045,3909.457074
1.499061,1255.548528
1.507076,1888.586401
1.515092,2300.930860
1.523108,2045.487740
1.531124,1879.348875
1.539140,3138.958692
1.547156,1977.669573
1.555171,2707.976020
1.563187,3137.172298
1.571203,1798.732603
1.579219,2933.507409
1.587235,1329.012899
1.595251,1379.241502
1.603266,3697.652319
1.611282,3294.824480
1.619298,3597.876005
1.627314,2325.772127
1.635330,1871.585411
1.643345,4256.874638
1.651361,4378.744594
1.659377,1711.575282
1.667393,3578.898014
