temp,heat-cap
0.000001,-0.000000
0.008017,-0.000000
0.016033,199.600050
0.024049,-0.000000
0.032065,-0.000000
0.040081,-0.000000
0.048097,249.500062
0.056113,-124.750031
0.064129,0.000000
0.072145,124.750031
0.080161,-124.750031
0.088177,124.750031
0.096193,0.000000
0.104209,0.000000
0.112225,-249.500062
0.120241,0.000000
0.128257,0.000000
0.136274,-124.750031
0.144290,-0.000000
0.152306,-124.750031
0.160322,0.000000
0.168338,0.000000
0.176354,124.750031
0.184370,0.000000
0.192386,0.000000
0.200402,0.000000
0.208418,0.000000
0.216434,0.000000
0.224450,0.000000
0.232466,0.000000
0.240482,-124.750031
0.248498,0.000000
0.256514,0.000000
0.264530,0.000000
0.272546,499.000125
0.280562,-0.000000
0.288578,-0.000000
0.296594,-0.000000
0.304610,-0.000000
0.312626,-0.000000
0.320642,-0.000000
0.328658,-0.000000
0.336674,-499.000125
0.344690,0.000000
0.352706,0.000000
0.360722,0.000000
0.368738,0.000000
0.376754,0.000000
0.384770,0.000000
0.392786,0.000000
0.400803,0.000000
0.408819,0.000000
0.416835,124.750031
0.424851,0.000000
0.432867,0.000000
0.440883,0.000000
0.448899,0.000000
0.456915,0.000000
0.464931,0.000000
0.472947,0.000000
0.480963,-124.750031
0.488979,0.000000
0.496995,0.000000
0.505011,0.000000
0.513027,0.000000
0.521043,0.000000
0.529059,0.000000
0.537075,0.000000
0.545091,0.000000
0.553107,0.000000
0.561123,318.181261
0.569139,49.700213
0.577155,482.891262
0.585171,547.014526
0.593187,432.816425
0.601203,160.963754
0.609219,292.457030
0.617235,429.944302
0.625251,153.596134
0.633267,538.335720
0.641283,92.906930
0.649299,365.571288
0.657315,121.378409
0.665331,1007.490742
0.673348,1408.588941
0.681364,1117.255785
0.689380,880.118338
0.697396,1021.476732
0.705412,2219.526581
0.713428,1810.686138
0.721444,3624.431712
0.729460,3084.784805
0.737476,1900.221446
0.745492,2368.439906
0.753508,3795.135709
0.761524,3426.879610
0.769540,3673.944612
0.777556,3825.105686
0.785572,2894.537886
0.793588,2238.694879
0.801604,4583.658303
0.809620,4558.745759
0.817636,6699.039212
0.825652,7963.584949
0.833668,6604.945971
0.841684,8378.794012
0.849700,7986.874119
0.857716,6867.682773
0.865732,10377.167134
0.873748,10064.854994
0.881764,9381.539508
0.889780,8146.713999
0.897796,11459.145758
0.905812,9135.910567
0.913828,12458.207444
0.921844,16638.894425
0.929860,11845.134092
0.937877,15732.302607
0.945893,12438.976708
0.953909,19297.918238
0.961925,24782.299239
0.969941,20272.941505
0.977957,20997.590585
0.985973,18989.914282
0.993989,24877.703667
1.002005,22151.809342
1.010021,30619.576724
1.018037,29035.351228
1.026053,22730.542094
1.034069,30966.604088
1.042085,28533.978480
1.050101,36534.713713
1.058117,36008.927921
1.066133,37130.679203
1.074149,28120.018166
1.082165,36301.447389
1.090181,32151.229885
1.098197,37399.410001
1.106213,45394.463426
1.114229,47095.509397
1.122245,40174.567476
1.130261,47137.966865
1.138277,53719.124166
1.146293,44303.805996
1.154309,63407.980817
1.162325,59038.482978
1.170341,62383.257338
1.178357,62570.569697
1.186373,64962.985585
1.194389,60028.865858
1.202406,78088.524527
1.210422,104547.269380
1.218438,72254.119165
1.226454,66374.321774
1.234470,72525.285023
1.242486,67179.390293
1.250502,87565.156276
1.258518,92275.063109
1.266534,105062.253493
1.274550,64697.002035
1.282566,99400.237938
1.290582,108017.917645
1.298598,110516.602079
1.306614,104879.998567
1.314630,109343.652086
1.322646,122151.072204
1.330662,90372.469040
1.338678,152547.872096
1.346694,111115.814315
1.354710,119163.752263
1.362726,127373.091027
1.370742,147944.108933
1.378758,155304.235898
1.386774,148246.181331
1.394790,155215.574715
1.402806,119561.978339
1.410822,142788.773310
1.418838,143999.622837
1.426854,145550.444296
1.434870,153543.687035
1.442886,158332.265059
1.450902,140655.972351
1.458918,164856.916464
1.466935,174070.249474
1.474951,212289.525670
1.482967,191816.659441
1.490983,183479.136585
1.498999,194868.477271
1.507015,205905.733158
1.515031,202978.540484
1.523047,191878.222769
1.531063,200493.717165
1.539079,236801.970237
1.547095,237859.972878
1.555111,236364.970503
1.563127,223427.680482
1.571143,240883.007043
1.579159,262064.663239
1.587175,281357.211856
1.595191,277872.265414
1.603207,237091.992206
1.611223,258579.154860
1.619239,296745.234346
1.627255,295383.848120
1.635271,273666.166390
1.643287,288219.899633
1.651303,294643.652114
1.659319,307620.714793
1.667335,292102.322900
1.675351,324423.944594
1.683367,312316.385887
1.691383,313908.915564
1.699399,354210.730570
1.707415,342444.892043
1.715431,341960.752032
1.723447,373571.835510
1.731463,433773.902863
1.739480,378693.454909
1.747496,411431.659289
1.755512,445672.420978
1.763528,372025.072486
1.771544,436972.948207
1.779560,427301.324293
1.787576,422472.037049
1.795592,408797.672895
1.803608,457992.828963
1.811624,463358.266615
1.819640,446172.107914
1.827656,522338.994949
1.835672,504145.283068
1.843688,476982.181308
1.851704,455379.946428
1.859720,489040.164677
1.867736,520318.706281
1.875752,679699.046426
1.883768,558397.186021
1.891784,531469.848083
1.899800,548983.865850
1.907816,588198.207735
1.915832,659873.656585
1.923848,613079.220587
1.931864,612263.225513
1.939880,425607.271317
1.947896,600055.392256
1.955912,647471.080912
1.963928,640106.396013
1.971944,788878.675323
1.979960,631285.357521
1.987976,673307.324358
1.995992,758565.791368
2.004009,916570.010048
2.012025,794152.454794
2.020041,840399.938704
2.028057,742420.340135
2.036073,751864.816595
2.044089,846792.597334
2.052105,1213400.846143
2.060121,795634.470180
2.068137,732354.735891
2.076153,975234.929745
2.084169,855614.947012
2.092185,1107132.176182
2.100201,919408.853726
2.108217,1145290.575862
2.116233,726423.927101
2.124249,1119293.555975
2.132265,1065123.009023
2.140281,1064902.542377
2.148297,1347862.648527
2.156313,1021584.186702
2.164329,1233407.741660
2.172345,1119765.083620
2.180361,1258300.430316
2.188377,1259788.627009
2.196393,1322114.754077
2.204409,1200335.184718
2.212425,1244298.519283
2.220441,1521630.450978
2.228457,1382238.899489
2.236473,1345202.438403
2.244489,1441986.484621
2.252505,1429192.176367
2.260521,1348412.222989
2.268538,1537771.281840
2.276554,1208713.042168
2.284570,1481067.772294
2.292586,1176794.828858
2.300602,1256721.074941
2.308618,1416890.374743
2.316634,1087366.351671
2.324650,1559072.880384
2.332666,934084.589752
2.340682,1136200.993885
2.348698,726965.946631
2.356714,1111824.038592
2.364730,980547.919937
2.372746,1581520.705690
2.380762,1256393.278313
2.388778,1438814.537131
2.396794,2404961.758022
2.404810,1774638.811402
2.412826,2221359.619654
2.420842,1522716.675349
2.428858,1016103.614386
2.436874,209776.543060
2.444890,1977758.522968
2.452906,772696.073805
2.460922,361099.954264
2.468938,1437623.230527
2.476954,-329931.240140
2.484970,1678504.489321
2.492986,766119.849063
2.501002,2006397.333932
2.509018,1145477.825784
2.517034,1212033.216172
2.525050,887540.527941
2.533066,-158335.199619
2.541083,2026832.050877
2.549099,957528.854372
2.557115,1990816.192399
2.565131,844121.335780
2.573147,828988.994660
2.581163,895275.903999
2.589179,1519023.749751
2.597195,1800593.998197
2.605211,697096.680781
2.613227,581486.993220
2.621243,1163515.818657
2.629259,905570.716132
2.637275,548544.368618
2.645291,960311.878967
2.653307,512133.718124
2.661323,773159.422144
2.669339,791543.443381
2.677355,805361.975615
2.685371,601248.821734
2.693387,420854.844578
2.701403,668057.208681
2.709419,414054.968879
2.717435,615888.094287
2.725451,498681.943489
2.733467,708037.782990
2.741483,465817.240829
2.749499,484253.771964
2.757515,359907.711098
2.765531,328474.199736
2.773547,805449.512924
2.781563,507196.476524
2.789579,646215.526169
2.797595,680503.303259
2.805612,587593.313690
2.813628,437159.761067
2.821644,880759.445916
2.829660,694930.975284
2.837676,394861.820687
2.845692,564770.114416
2.853708,360420.010400
2.861724,345007.887053
2.869740,512973.002367
2.877756,610066.051541
2.885772,441340.760235
2.893788,480550.606624
2.901804,476340.636478
2.909820,340775.439423
2.917836,434076.287448
2.925852,491205.682861
2.933868,248695.181168
2.941884,283876.937711
2.949900,463247.627449
2.957916,441742.420371
