temp,magnetisation
0.000001,1000000.000000
0.008017,1000000.000000
0.016033,1000000.000000
0.024049,999998.000000
0.032065,1000000.000000
0.040081,1000000.000000
0.048097,999998.000000
0.056113,1000000.000000
0.064129,1000000.000000
0.072145,1000000.000000
0.080161,999994.858859
0.088177,1000000.000000
0.096193,1000000.000000
0.104209,999998.000000
0.112225,1000000.000000
0.120241,999998.000000
0.128257,1000000.000000
0.136274,1000000.000000
0.144290,1000000.000000
0.152306,1000000.000000
0.160322,1000000.000000
0.168338,1000000.000000
0.176354,1000000.000000
0.184370,1000000.000000
0.192386,1000000.000000
0.200402,1000000.000000
0.208418,999998.000000
0.216434,1000000.000000
0.224450,1000000.000000
0.232466,1000000.000000
0.240482,1000000.000000
0.248498,1000000.000000
0.256514,1000000.000000
0.264530,1000000.000000
0.272546,1000000.000000
0.280562,1000000.000000
0.288578,1000000.000000
0.296594,1000000.000000
0.304610,999974.010010
0.312626,1000000.000000
0.320642,1000000.000000
0.328658,1000000.000000
0.336674,1000000.000000
0.344690,1000000.000000
0.352706,1000000.000000
0.360722,1000000.000000
0.368738,1000000.000000
0.376754,1000000.000000
0.384770,1000000.000000
0.392786,1000000.000000
0.400803,1000000.000000
0.408819,1000000.000000
0.416835,1000000.000000
0.424851,1000000.000000
0.432867,1000000.000000
0.440883,1000000.000000
0.448899,999998.000000
0.456915,1000000.000000
0.464931,1000000.000000
0.472947,1000000.000000
0.480963,1000000.000000
0.488979,1000000.000000
0.496995,1000000.000000
0.505011,1000000.000000
0.513027,1000000.000000
0.521043,1000000.000000
0.529059,1000000.000000
0.537075,1000000.000000
0.545091,1000000.000000
0.553107,1000000.000000
0.561123,1000000.000000
0.569139,1000000.000000
0.577155,1000000.000000
0.585171,1000000.000000
0.593187,999994.898899
0.601203,999999.203203
0.609219,999992.258258
0.617235,999989.913914
0.625251,999993.061061
0.633267,999997.419419
0.641283,999995.311311
0.649299,999993.107107
0.657315,999992.436436
0.665331,999990.572573
0.673348,999990.768769
0.681364,999985.369369
0.689380,999991.115115
0.697396,999981.103103
0.705412,999972.728729
0.713428,999975.195195
0.721444,999978.326326
0.729460,999974.196196
0.737476,999955.185185
0.745492,999956.006006
0.753508,999932.500501
0.761524,999930.300300
0.769540,999942.264264
0.777556,999937.169169
0.785572,999917.077077
0.793588,999916.142142
0.801604,999886.476476
0.809620,999893.237237
0.817636,999886.054054
0.825652,999895.439439
0.833668,999868.778779
0.841684,999863.147147
0.849700,999808.052052
0.857716,999752.064064
0.865732,999787.901902
