temp,energy
0.000001,-2
0.008795,-2
0.017589,-2
0.026383,-2
0.035177,-2
0.043971,-2
0.052765,-2
0.061559,-1.999992
0.070353,-2
0.079147,-2
0.087941,-2
0.096735,-2
0.105529,-2
0.114323,-2
0.123117,-2
0.13191,-2
0.140704,-2
0.149498,-2
0.158292,-2
0.167086,-2
0.17588,-2
0.184674,-2
0.193468,-2
0.202262,-2
0.211056,-2
0.21985,-2
0.228644,-1.999992
0.237438,-2
0.246232,-2
0.255026,-2
0.26382,-2
0.272614,-1.999992
0.281408,-2
0.290202,-1.999992
0.298996,-2
0.30779,-2
0.316584,-2
0.325378,-2
0.334172,-2
0.342966,-2
0.35176,-2
0.360554,-2
0.369348,-2
0.378141,-2
0.386935,-2
0.395729,-2
0.404523,-2
0.413317,-2
0.422111,-2
0.430905,-2
0.439699,-2
0.448493,-2
0.457287,-2
0.466081,-2
0.474875,-2
0.483669,-2
0.492463,-2
0.501257,-2
0.510051,-2
0.518845,-2
0.527639,-1.999992
0.536433,-2
0.545227,-2
0.554021,-2
0.562815,-2
0.571609,-1.999980677
0.580403,-2
0.589197,-2
0.597991,-2
0.606785,-1.999982823
0.615579,-1.999998374
0.624373,-1.999982486
0.633166,-1.999970002
0.64196,-1.999970955
0.650754,-1.999940709
0.659548,-1.999966567
0.668342,-1.999971075
0.677136,-1.999919031
0.68593,-1.999930466
0.694724,-1.999898186
0.703518,-1.999923768
0.712312,-1.999896368
0.721106,-1.999852012
0.7299,-1.999871023
0.738694,-1.999838503
0.747488,-1.999801598
0.756282,-1.999771403
0.765076,-1.999796669
0.77387,-1.999690266
0.782664,-1.999659916
0.791458,-1.999741594
0.800252,-1.999611772
0.809046,-1.999641994
0.81784,-1.999522182
0.826634,-1.99953767
0.835428,-1.999527688
0.844222,-1.999302691
0.853016,-1.999283952
0.86181,-1.999225013
0.870604,-1.999237085
0.879397,-1.999181449
0.888191,-1.998883988
0.896985,-1.99894362
0.905779,-1.998798326
0.914573,-1.998607952
0.923367,-1.998568216
0.932161,-1.998470591
0.940955,-1.998077978
0.949749,-1.998176761
0.958543,-1.998082082
0.967337,-1.99787049
0.976131,-1.997750454
0.984925,-1.997589381
0.993719,-1.997347728
1.002513,-1.997305361
1.011307,-1.996926298
1.020101,-1.996748376
1.028895,-1.99630993
1.037689,-1.996344208
1.046483,-1.996043379
1.055277,-1.995808725
1.064071,-1.995215315
1.072865,-1.995012733
1.081659,-1.994600897
1.090453,-1.994521349
1.099247,-1.994302679
1.108041,-1.993663079
1.116835,-1.993196336
1.125628,-1.993076176
1.134422,-1.992627636
1.143216,-1.991993922
1.15201,-1.991399251
1.160804,-1.991070835
1.169598,-1.99052551
1.178392,-1.989696172
1.187186,-1.989645526
1.19598,-1.988717778
1.204774,-1.988417045
1.213568,-1.987869025
1.222362,-1.986874927
1.231156,-1.986364757
1.23995,-1.985574575
1.248744,-1.984723479
1.257538,-1.984032484
1.266332,-1.983801125
1.275126,-1.982870535
1.28392,-1.981269662
1.292714,-1.981182599
1.301508,-1.98028002
1.310302,-1.979128
1.319096,-1.978249674
1.32789,-1.976824793
1.336684,-1.976343568
1.345478,-1.975809217
1.354272,-1.975205477
1.363066,-1.973062919
1.37186,-1.971452192
1.380653,-1.970471495
1.389447,-1.97002965
1.398241,-1.968100657
1.407035,-1.967361826
1.415829,-1.965935984
1.424623,-1.964420621
1.433417,-1.962897766
1.442211,-1.961287291
1.451005,-1.960020296
1.459799,-1.958152877
1.468593,-1.956059784
1.477387,-1.955402743
1.486181,-1.952838675
1.494975,-1.952153634
1.503769,-1.950931744
1.512563,-1.948471123
1.521357,-1.945184296
1.530151,-1.944742927
1.538945,-1.944644925
1.547739,-1.940852068
1.556533,-1.937855612
1.565327,-1.937476388
1.574121,-1.934656917
1.582915,-1.931805053
1.591709,-1.929454923
1.600503,-1.928635956
1.609297,-1.925580697
1.618091,-1.923706418
1.626884,-1.921875475
1.635678,-1.916966647
1.644472,-1.91433033
1.653266,-1.912839067
1.66206,-1.9104523
1.670854,-1.906576376
1.679648,-1.905708593
1.688442,-1.901704128
1.697236,-1.898967371
1.70603,-1.89659952
1.714824,-1.894865333
1.723618,-1.889372128
1.732412,-1.884452769
1.741206,-1.883535255
1.75,-1.878424316
1.751503,-1.880325309
1.753006,-1.880136428
1.754509,-1.878008725
1.756012,-1.877374306
1.757515,-1.87606611
1.759018,-1.876519548
1.760521,-1.876378983
1.762024,-1.874570579
1.763527,-1.875784284
1.76503,-1.874442823
1.766533,-1.873368833
1.768036,-1.871433109
1.769539,-1.872152392
1.771042,-1.872175079
1.772545,-1.870802066
1.774048,-1.868269161
1.775551,-1.869380537
1.777054,-1.870899031
1.778557,-1.869604649
1.78006,-1.867220993
1.781563,-1.86818364
1.783066,-1.867486875
1.784569,-1.866512364
1.786072,-1.865400228
1.787575,-1.864530919
1.789078,-1.864971083
1.790581,-1.863677798
1.792084,-1.860295808
1.793587,-1.858666835
1.79509,-1.861372296
1.796593,-1.860791099
1.798096,-1.85974
1.799599,-1.860079331
1.801102,-1.858715311
1.802605,-1.857346955
1.804108,-1.857707399
1.805611,-1.856948096
1.807114,-1.858024128
1.808617,-1.855849377
1.81012,-1.856505726
1.811623,-1.853446879
1.813126,-1.85478979
1.814629,-1.851865233
1.816132,-1.851404452
1.817635,-1.851313469
1.819138,-1.850012196
1.820641,-1.849098583
1.822144,-1.848162306
1.823647,-1.847663684
1.82515,-1.846723343
1.826653,-1.846246695
1.828156,-1.848969538
1.829659,-1.843542719
1.831162,-1.84625566
1.832665,-1.844470543
1.834168,-1.841348108
1.835671,-1.841932509
1.837174,-1.843353065
1.838677,-1.843942647
1.84018,-1.838268581
1.841683,-1.839578771
1.843186,-1.837827059
