temp,heat-cap
0.160322,-8.88E-16
0.168338,-8.88E-16
0.176354,-8.88E-16
0.18437,-8.88E-16
0.192386,-8.88E-16
0.200402,-8.88E-16
0.208418,-8.88E-16
0.216434,-8.88E-16
0.22445,-8.88E-16
0.232466,-8.88E-16
0.240482,-9.77E-05
0.248498,-8.88E-16
0.256514,-8.88E-16
0.26453,-8.88E-16
0.272546,-8.88E-16
0.280562,-8.88E-16
0.288578,-8.88E-16
0.296594,-8.88E-16
0.30461,-8.88E-16
0.312626,-8.88E-16
0.320642,-8.88E-16
0.328658,-8.88E-16
0.336674,-8.88E-16
0.34469,-8.88E-16
0.352706,-8.88E-16
0.360722,-8.88E-16
0.368738,-8.88E-16
0.376754,-8.88E-16
0.38477,-8.88E-16
0.392786,-8.88E-16
0.400803,-8.88E-16
0.408819,-8.88E-16
0.416835,-8.88E-16
0.424851,-8.88E-16
0.432867,-8.88E-16
0.440883,-8.88E-16
0.448899,-8.88E-16
0.456915,-8.88E-16
0.464931,-9.77E-05
0.472947,-8.88E-16
0.480963,-8.88E-16
0.488979,-8.88E-16
0.496995,-8.88E-16
0.505011,-8.88E-16
0.513027,9.77E-05
0.521043,9.77E-05
0.529059,9.77E-05
0.537075,9.77E-05
0.545091,9.77E-05
0.553107,9.77E-05
0.561123,9.77E-05
0.569139,0.000195312
0.577155,0.000195312
0.585171,0.000195312
0.593187,0.000292969
0.601203,0.000292969
0.609219,0.000292969
0.617235,0.000390625
0.625251,0.000488281
0.633267,0.000488281
0.641283,0.000585937
0.649299,0.000683594
0.657315,0.00078125
0.665331,0.00078125
0.673348,0.000878906
0.681364,0.000976562
0.68938,0.001074219
0.697396,0.001269531
0.705412,0.001367187
0.713428,0.0015625
0.721444,0.001757812
0.72946,0.001855469
0.737476,0.002050781
0.745492,0.002246094
0.753508,0.00234375
0.761524,0.002734375
0.76954,0.002832031
0.777556,0.003027344
0.785572,0.003320312
0.793588,0.003710937
0.801604,0.004003906
0.80962,0.004296875
0.817636,0.0046875
0.825652,0.004980469
0.833668,0.005371094
0.841684,0.005859375
0.8497,0.006445312
0.857716,0.006738281
0.865732,0.007128906
0.873748,0.007714844
0.881764,0.008398437
0.88978,0.008984375
0.897796,0.009277344
0.905812,0.010058594
0.913828,0.010351562
0.921844,0.011132812
0.92986,0.012207031
0.937877,0.012988281
0.945893,0.013574219
0.953909,0.014453125
0.961925,0.015039062
0.969941,0.016015625
0.977957,0.016894531
0.985973,0.018261719
0.993989,0.019042969
1.002005,0.020117187
1.010021,0.020410156
1.018037,0.021386719
1.026053,0.022753906
1.034069,0.023730469
1.042085,0.025195312
1.050101,0.027441406
1.058117,0.027636719
1.066133,0.029394531
1.074149,0.030371094
1.082165,0.032324219
1.090181,0.033789062
1.098197,0.0359375
1.106213,0.036914062
1.114229,0.038378906
1.122245,0.040429687
1.130261,0.041601562
1.138277,0.044238281
1.146293,0.045117187
1.154309,0.045117187
1.162325,0.049414062
1.170341,0.050976562
1.178357,0.05390625
1.186373,0.054882812
1.194389,0.057714844
1.202406,0.058691406
1.210422,0.060449219
1.218438,0.063671875
1.226454,0.066113281
1.23447,0.069238281
1.242486,0.070507812
1.250502,0.072753906
1.258518,0.076464844
1.266534,0.08125
1.27455,0.081542969
1.282566,0.086523437
1.290582,0.088183594
1.298598,0.089648437
1.306614,0.091210937
1.31463,0.096386719
1.322646,0.098828125
1.330662,0.102148437
1.338678,0.10625
1.346694,0.106445312
1.35471,0.111035156
1.362726,0.112597656
1.370742,0.115039062
1.378758,0.120703125
1.386774,0.125878906
1.39479,0.124902344
1.402806,0.121875
1.410822,0.1328125
1.418838,0.140722656
1.426854,0.141894531
1.43487,0.147363281
1.442886,0.147949219
1.450902,0.153027344
1.458918,0.149707031
1.466935,0.160742187
1.474951,0.162890625
1.482967,0.169140625
1.490983,0.170800781
1.498999,0.179785156
1.507015,0.180664062
1.515031,0.183203125
1.523047,0.191015625
1.531063,0.184667969
1.539079,0.200976562
1.547095,0.206152344
1.555111,0.20703125
1.563127,0.211230469
1.571143,0.211328125
1.579159,0.21796875
1.587175,0.225390625
1.595191,0.231542969
1.603207,0.242773437
