temp,magnetisation
0.1,1
0.107815631,1
0.115631263,1
0.123446894,1
0.131262525,1
0.139078156,1
0.146893788,1
0.154709419,1
0.16252505,1
0.170340681,1
0.178156313,1
0.185971944,1
0.193787575,1
0.201603206,1
0.209418838,1
0.217234469,1
0.2250501,1
0.232865731,1
0.240681363,1
0.248496994,1
0.256312625,1
0.264128257,1
0.271943888,1
0.279759519,1
0.28757515,1
0.295390782,1
0.303206413,1
0.311022044,1
0.318837675,1
0.326653307,1
0.334468938,1
0.342284569,1
0.3501002,1
0.357915832,1
0.365731463,0.999999999
0.373547094,0.999999999
0.381362725,0.999999998
0.389178357,0.999999998
0.396993988,0.999999996
0.404809619,0.999999995
0.412625251,0.999999992
0.420440882,0.999999989
0.428256513,0.999999985
0.436072144,0.999999978
0.443887776,0.99999997
0.451703407,0.999999959
0.459519038,0.999999945
0.467334669,0.999999926
0.475150301,0.999999902
0.482965932,0.999999872
0.490781563,0.999999833
0.498597194,0.999999785
0.506412826,0.999999724
0.514228457,0.999999649
0.522044088,0.999999557
0.529859719,0.999999444
0.537675351,0.999999308
0.545490982,0.999999143
0.553306613,0.999998946
0.561122244,0.99999871
0.568937876,0.99999843
0.576753507,0.9999981
0.584569138,0.999997712
0.59238477,0.999997258
0.600200401,0.99999673
0.608016032,0.999996117
0.615831663,0.999995409
0.623647295,0.999994594
0.631462926,0.999993661
0.639278557,0.999992594
0.647094188,0.999991381
0.65490982,0.999990004
0.662725451,0.999988447
0.670541082,0.999986693
0.678356713,0.99998472
0.686172345,0.99998251
0.693987976,0.99998004
0.701803607,0.999977287
0.709619238,0.999974226
0.71743487,0.999970831
0.725250501,0.999967075
0.733066132,0.999962929
0.740881764,0.999958363
0.748697395,0.999953345
0.756513026,0.999947842
0.764328657,0.999941819
0.772144289,0.99993524
0.77995992,0.999928066
0.787775551,0.999920259
0.795591182,0.999911778
0.803406814,0.99990258
0.811222445,0.999892621
0.819038076,0.999881856
0.826853707,0.999870237
0.834669339,0.999857715
0.84248497,0.99984424
0.850300601,0.99982976
0.858116232,0.999814221
0.865931864,0.999797569
0.873747495,0.999779746
0.881563126,0.999760694
0.889378758,0.999740354
0.897194389,0.999718663
0.90501002,0.999695559
0.912825651,0.999670976
0.920641283,0.999644849
0.928456914,0.999617111
0.936272545,0.999587691
0.944088176,0.999556518
0.951903808,0.999523521
0.959719439,0.999488625
0.96753507,0.999451755
0.975350701,0.999412834
0.983166333,0.999371783
0.990981964,0.999328522
0.998797595,0.999282969
1.006613226,0.999235041
1.014428858,0.999184653
1.022244489,0.99913172
1.03006012,0.999076153
1.037875752,0.999017863
1.045691383,0.998956759
1.053507014,0.998892748
1.061322645,0.998825738
1.069138277,0.998755631
1.076953908,0.998682332
1.084769539,0.998605741
1.09258517,0.998525758
1.100400802,0.998442281
1.108216433,0.998355207
1.116032064,0.998264431
1.123847695,0.998169845
1.131663327,0.998071343
1.139478958,0.997968812
1.147294589,0.997862143
1.15511022,0.997751221
1.162925852,0.997635931
1.170741483,0.997516155
1.178557114,0.997391776
1.186372745,0.997262673
1.194188377,0.997128722
1.202004008,0.9969898
1.209819639,0.99684578
1.217635271,0.996696534
1.225450902,0.996541931
1.233266533,0.996381839
1.241082164,0.996216123
1.248897796,0.996044647
1.256713427,0.995867271
1.264529058,0.995683855
1.272344689,0.995494254
1.280160321,0.995298324
1.287975952,0.995095914
1.295791583,0.994886875
1.303607214,0.994671053
