temp,energy
0.000001,-20000.000000
0.081634,-20000.000000
0.163266,-20000.000000
0.244899,-20000.000000
0.326532,-20000.000000
0.408164,-20000.000000
0.489797,-20000.000000
0.571429,-20000.000000
0.653062,-19999.703704
0.734695,-19998.334334
0.816327,-19996.036036
0.897960,-19991.151151
0.979593,-19975.551552
1.061225,-19950.590591
1.142858,-19922.378378
1.224490,-19869.425425
1.306123,-19790.786787
1.387756,-19708.112112
1.469388,-19566.270270
1.551021,-19407.671672
1.632654,-19201.273273
1.714286,-18932.576577
1.795919,-18631.343343
1.877552,-18228.176176
1.959184,-17735.327327
2.040817,-17127.451451
2.122449,-16420.236236
2.204082,-15442.502503
2.285715,-14054.838839
2.367347,-12678.074074
2.448980,-11583.891892
2.530613,-10863.467467
2.612245,-10286.446446
2.693878,-9799.759760
2.775511,-9223.727728
2.857143,-8806.626627
2.938776,-8412.828829
3.020408,-8105.145145
3.102041,-7794.626627
3.183674,-7501.193193
3.265306,-7277.133133
3.346939,-6982.254254
3.428572,-6782.378378
3.510204,-6564.688689
3.591837,-6389.933934
3.673469,-6206.290290
3.755102,-6017.969970
3.836735,-5845.337337
3.918367,-5716.560561
4.000000,-5573.869870
